id,naslov,posredovanje,vrsta,obcina,velikost,cena,leto,sobe
o6272306,SELO NAD POLHOVIM GRADCEM,prodaja,Hiša,Dobrna,120.0,157000.0,1977.0,
o6336960,SELO PRI IHANU,prodaja,Stanovanje,Domžale,51.0,63000.0,1994.0,2.0
o6373502,SELO PRI IHANU,prodaja,Hiša,Domžale,175.6,270000.0,2016.0,
o6343532,SELO PRI IHANU,prodaja,Posest,Domžale,2073.0,110.0,,
o6298763,SELO PRI VODICAH,prodaja,Hiša,Vodice,98.1,239000.0,2002.0,
o6358918,SELO PRI VODICAH,prodaja,Hiša,Vodice,325.0,980000.0,2003.0,
o6346607,SELO PRI VODICAH,prodaja,Posest,Vodice,932.0,69900.0,,
o6366835,"SELO PRI VODICAH, NA ROBU GOZDA",prodaja,Posest,Vodice,678.0,150.0,,
o6329863,SELO PRI ZAGORICI,prodaja,Posest,Mirna Peč,2009.0,55000.0,,
o6371188,SELO PRI ZAGORICI,prodaja,Posest,Mirna Peč,2009.0,40000.0,,
o6278843,SELO PRI ZAGORJU,prodaja,Posest,Zagorje ob Savi,1730.0,109000.0,,
o6252047,"SELO PRI ZAGORJU, OB",prodaja,Posest,Zagorje ob Savi,1000.0,50.0,2019.0,
o6279757,"SELO, MORAVSKE TOPLICE",prodaja,Vikend,Moravske Toplice,140.0,135000.0,2019.0,
o6279756,"SELO, MORAVSKE TOPLICE",prodaja,Vikend,Moravske Toplice,140.8,135000.0,2019.0,
o6326767,"SELŠEK, ŠMARTNO PRI LITIJI",prodaja,Hiša,Šmartno pri Litiji,270.0,120000.0,2009.0,
o6226481,SEMIČ,prodaja,Vikend,Semič,60.0,40000.0,2015.0,
o6366032,SEMIČ,prodaja,Vikend,Semič,60.0,30000.0,1980.0,
o6367520,SEMIČ,prodaja,Stanovanje,Semič,63.3,30000.0,1918.0,1.0
o6370649,SEMIČ,prodaja,Vikend,Semič,64.5,28000.0,1963.0,
o6354960,SEMIČ,prodaja,Hiša,Semič,76.0,70000.0,1850.0,
o6354258,SEMIČ,prodaja,Vikend,Semič,85.0,42000.0,1970.0,
o6348708,SEMIČ,prodaja,Hiša,Semič,98.0,38000.0,1946.0,
o6356142,SEMIČ,prodaja,Vikend,Semič,107.6,43000.0,1980.0,
o6225960,SEMIČ,prodaja,Vikend,Semič,168.6,86000.0,1979.0,
o6277902,SEMIČ,prodaja,Posest,Semič,1010.0,15000.0,,
o6293739,SEMIČ,prodaja,Posest,Semič,1883.0,27000.0,,
o6367149,"SEMIČ, CENTER",prodaja,Hiša,Semič,240.0,106000.0,1974.0,
o6313352,"SEMIČ, ČREŠNJEVEC PRI SEMIČU",prodaja,Posest,Semič,4034.0,2000.0,,
o6061503,"SEMIČ, KOT PRI SEMIČU",prodaja,Posest,Semič,26285.0,11800.0,,
o6267426,"SEMIČ, PODREBER",prodaja,Posest,Semič,7085.0,7000.0,,
o6150041,"SEMIČ, SMUŠKA CESTA",prodaja,Vikend,Semič,25.0,23000.0,1989.0,
o6267433,"SEMIČ, V BLIŽINI NASELJA PODREBER",prodaja,Posest,Semič,9262.0,9000.0,,
o5807720,"SEMIČ, Z GRADBENIM DOVOLJENJEM",prodaja,Posest,Semič,915.0,15000.0,,
o6372603,"SENADOLE, LOKACIJA PARCELE - NENASELJENO",prodaja,Posest,Divača,7350.0,750000.0,,
o6155854,SENADOLICE,prodaja,Poslovni prostor,Sežana,520.0,995000.0,1995.0,
o6370192,SENČAK PRI JURŠINCIH,prodaja,Hiša,Juršinci,160.0,395000.0,2008.0,
o6299599,SENČAK PRI JURŠINCIH,prodaja,Hiša,Juršinci,220.0,159900.0,2006.0,
o6305563,SENEŠCI,prodaja,Vikend,Ormož,123.0,59000.0,2003.0,
o6340805,SENIČICA,prodaja,Hiša,Medvode,70.3,465000.0,1100.0,
o6319079,SENIČNO,prodaja,Posest,Tržič,1033.0,91900.0,,
o6218502,SENIČNO,prodaja,Posest,Tržič,1033.0,89.0,,
o6347298,SENIČNO,prodaja,Posest,Tržič,4024.0,455000.0,,
o6365099,"SENIČNO, POD KRIŠKO GORO",prodaja,Posest,Tržič,1033.0,90.0,,
o6266684,SENIK,prodaja,Hiša,Sveti Tomaž,120.0,69000.0,1900.0,
o6259307,SENIŠKI BREG,prodaja,Hiša,Kanal,210.0,75000.0,2010.0,
o6305519,"SENJ, LUKOVO",prodaja,Stanovanje,Celje,91.0,140000.0,2018.0,
o6305431,"SENJ, SVETI JURAJ",prodaja,Hiša,Celje,230.0,690000.0,1980.0,
o6373883,SENOVO,prodaja,Stanovanje,Krško,59.3,57000.0,1959.0,2.0
o6355718,SENOVO,prodaja,Stanovanje,Krško,63.9,73000.0,1978.0,3.0
o6334411,SENOVO,prodaja,Stanovanje,Krško,98.9,80000.0,1923.0,3.0
o6367798,SENOVO,prodaja,Hiša,Krško,265.1,215000.0,1991.0,
o6367816,SENOVO,prodaja,Poslovni prostor,Krško,364.2,215000.0,1997.0,
o6279183,SENOVO,prodaja,Posest,Krško,2000.0,43000.0,,
o6308991,"SENOVO, ŠERCERJEVA 2A",prodaja,Posest,Krško,1500.0,24.0,,
o6326649,SENOŽEČE,prodaja,Hiša,Divača,75.0,87000.0,1977.0,
o6365277,SENOŽEČE,prodaja,Stanovanje,Divača,81.4,110000.0,1980.0,3.0
o6200437,SENOŽEČE,prodaja,Hiša,Divača,105.0,66000.0,1700.0,
o5704844,SENOŽEČE,prodaja,Poslovni prostor,Divača,121.0,40000.0,2000.0,
o6103836,SENOŽEČE,prodaja,Hiša,Divača,152.0,185000.0,1969.0,
o6096652,SENOŽEČE,prodaja,Hiša,Divača,186.0,139000.0,1829.0,
o6189166,SENOŽEČE,prodaja,Hiša,Divača,288.5,380000.0,2007.0,
o6344058,SENOŽEČE,prodaja,Hiša,Divača,443.1,429000.0,2011.0,
o6292833,SENOŽEČE,prodaja,Posest,Divača,611.0,33000.0,,
o6216051,SENOŽEČE,prodaja,Posest,Divača,6824.0,38.0,,
o5260746,SENOŽEČE,prodaja,Posest,Divača,14244.0,1.5,,
o5983144,SENOŽEČE,prodaja,Posest,Divača,35825.0,0.3,,
o6245731,"SENOŽEČE, NA ROBU NASELJA",prodaja,Hiša,Divača,443.1,429000.0,2011.0,
o6287790,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,2519.0,1260.0,,
o6287795,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,2754.0,1377.0,,
o6089794,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,3174.0,40.0,,
o6287799,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,5160.0,2064.0,,
o6293349,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,17142.0,0.3,,
o6287781,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,54795.0,21700.0,,
o6255028,"SENOŽEČE, OKOLICA",prodaja,Posest,Divača,83326.0,38674.6,,
o5994705,"SENOŽEČE, VZNOŽJE VREMŠČICE",prodaja,Posest,Divača,45710.0,0.3,,
