zacetek,konec,razdalja,cas
Ankaran/Ancarano,Sveta Trojica v Slov. goricah,253954,8915
Ankaran/Ancarano,Sveti Andraž v Slov. goricah,264449,9503
Ankaran/Ancarano,Sveti Jurij ob Ščavnici,267230,9381
Ankaran/Ancarano,Sveti Jurij v Slov. goricah,250291,8982
Ankaran/Ancarano,Sveti Tomaž,265686,9918
Ankaran/Ancarano,Tabor,161024,5869
Ankaran/Ancarano,Tišina,276994,10075
Ankaran/Ancarano,Tolmin,127583,6002
Ankaran/Ancarano,Trbovlje,166010,6697
Ankaran/Ancarano,Trebnje,148983,5336
Ankaran/Ancarano,Trnovska vas,256673,9076
Ankaran/Ancarano,Trzin,115400,4340
Ankaran/Ancarano,Tržič,145275,5257
Ankaran/Ancarano,Turnišče,294969,10401
Ankaran/Ancarano,Velenje,179876,7100
Ankaran/Ancarano,Velika Polana,298687,10581
Ankaran/Ancarano,Velike Lašče,134863,5233
Ankaran/Ancarano,Veržej,278181,9822
Ankaran/Ancarano,Videm,245188,8542
Ankaran/Ancarano,Vipava,59019,2506
Ankaran/Ancarano,Vitanje,198563,7677
Ankaran/Ancarano,Vodice,117364,4255
Ankaran/Ancarano,Vojnik,186144,6749
Ankaran/Ancarano,Vransko,153966,5631
Ankaran/Ancarano,Vrhnika,85766,3177
Ankaran/Ancarano,Vuzenica,227927,10015
Ankaran/Ancarano,Zagorje ob Savi,160360,6329
Ankaran/Ancarano,Zavrč,261282,9639
Ankaran/Ancarano,Zreče,200641,7653
Ankaran/Ancarano,Črenšovci,297672,10503
Ankaran/Ancarano,Črna na Koroškem,208798,9193
Ankaran/Ancarano,Črnomelj,190422,8100
Ankaran/Ancarano,Šalovci,310566,11540
Ankaran/Ancarano,Šempeter - Vrtojba,85390,3368
Ankaran/Ancarano,Šentilj,254387,9144
Ankaran/Ancarano,Šentjernej,183023,6552
Ankaran/Ancarano,Šentjur,195025,7054
Ankaran/Ancarano,Šentrupert,160475,6020
Ankaran/Ancarano,Šenčur,125602,4541
Ankaran/Ancarano,Škocjan,180701,6307
Ankaran/Ancarano,Škofja Loka,123235,5125
Ankaran/Ancarano,Škofljica,111892,4212
Ankaran/Ancarano,Šmarje pri Jelšah,205984,7851
Ankaran/Ancarano,Šmarješke Toplice,175218,6189
Ankaran/Ancarano,Šmartno ob Paki,176338,6649
Ankaran/Ancarano,Šmartno pri Litiji,145049,5921
Ankaran/Ancarano,Šoštanj,185702,7158
Ankaran/Ancarano,Štore,189046,6911
Ankaran/Ancarano,Žalec,171074,6315
Ankaran/Ancarano,Železniki,138386,6141
Ankaran/Ancarano,Žetale,258996,9164
Ankaran/Ancarano,Žiri,102173,4615
Ankaran/Ancarano,Žirovnica,156063,5659
Ankaran/Ancarano,Žužemberk,150826,5756
Apače,Ajdovščina,243152,9149
Apače,Ankaran/Ancarano,265950,9888
Apače,Beltinci,35516,2234
Apače,Benedikt,13575,911
Apače,Bistrica ob Sotli,103272,5634
Apače,Bled,213552,8176
Apače,Bloke,204455,8824
Apače,Bohinj,235965,9609
Apače,Borovnica,180461,7581
Apače,Bovec,279007,12171
Apače,Braslovče,106658,4435
Apače,Brda,279634,11085
Apače,Brezovica,174761,7447
Apače,Brežice,126360,7023
Apače,Cankova,13450,1070
Apače,Celje,88006,3920
Apače,Cerklje na Gorenjskem,163829,7054
Apače,Cerknica,211708,8994
Apače,Cerkno,217676,10205
Apače,Cerkvenjak,22174,1504
Apače,Cirkulane,53386,3542
Apače,Destrnik,32578,2216
Apače,Divača,234336,8792
Apače,Dobje,96009,4683
Apače,Dobrepolje,185251,7680
Apače,Dobrna,104191,4542
Apače,Dobrova - Polhov Gradec,176517,7504
Apače,Dobrovnik/Dobronak,43366,2581
Apače,Dol pri Ljubljani,154508,6095
Apače,Dolenjske Toplice,218803,9112
Apače,Domžale,146856,5857
Apače,Dornava,38687,2574
Apače,Dravograd,97284,5671
Apače,Duplek,31231,2236
Apače,Gorenja vas - Poljane,197861,8599
Apače,Gorišnica,45105,3032
Apače,Gorje,218293,8562
Apače,Gornja Radgona,7138,494
Apače,Gornji Grad,131027,6145
Apače,Gornji Petrovci,38118,2635
Apače,Grad,111208,5090
Apače,Grosuplje,170867,6643
Apače,Hajdina,61228,2866
Apače,Hodoš/Hodos,48303,3219
Apače,Horjul,180188,7430
Apače,Hoče - Slivnica,45804,2479
Apače,Hrastnik,115557,5832
Apače,Hrpelje - Kozina,242922,8997
Apače,Idrija,218256,9146
Apače,Ig,169682,6742
Apače,Ilirska Bistrica,237309,9699
Apače,Ivančna Gorica,184159,7115
Apače,Izola/Isola,270975,10075
Apače,Jesenice,221735,8493
Apače,Jezersko,210721,8940
Apače,Juršinci,34014,2333
Apače,Kamnik,142953,6391
Apače,Kanal,286321,11251
Apače,Kidričevo,60632,2880
Apače,Kobarid,277082,12708
Apače,Kobilje,50008,3053
Apače,Komen,255272,10148
Apače,Komenda,156126,6559
Apače,Koper/Capodistria,266834,9966
Apače,Kostanjevica na Krki,144257,8084
Apače,Kostel,240667,10643
Apače,Kozje,106593,5574
Apače,Kočevje,216904,9336
Apače,Kranj,189229,7514
Apače,Kranjska Gora,244063,9578
Apače,Križevci,24364,1808
Apače,Krško,139938,7296
Apače,Kungota,41089,2466
Apače,Kuzma,31694,2312
Apače,Laško,99793,4790
Apače,Lenart,17181,1154
Apače,Lendava/Lendva,56472,2944
Apače,Litija,150882,6679
Apače,Ljubljana,161815,6698
Apače,Ljubno,129594,5903
Apače,Ljutomer,32715,2312
Apače,Log - Dragomer,174684,7059
Apače,Logatec,192092,7402
Apače,Lovrenc na Pohorju,64579,4030
Apače,Loška dolina,235291,10387
Apače,Loški Potok,208895,9171
Apače,Lukovica,131334,5528
Apače,Luče,138819,6512
Apače,Majšperk,69923,3466
Apače,Makole,70151,3670
Apače,Maribor,38175,2288
Apače,Markovci,44233,2971
Apače,Medvode,170296,6906
Apače,Mengeš,150564,6158
Apače,Metlika,247087,10126
Apače,Mežica,117058,7046
Apače,Miklavž na Dravskem polju,40723,2200
Apače,Miren - Kostanjevica,278246,10833
Apače,Mirna,147121,7738
Apače,Mirna Peč,210535,7895
Apače,Mislinja,97095,5051
Apače,Mokronog - Trebelno,145864,7874
Apače,Moravske Toplice,29428,2128
Apače,Moravče,137317,5769
Apače,Mozirje,116137,5079
Apače,Murska Sobota,22113,1618
Apače,Muta,85563,5106
Apače,Naklo,193196,7442
Apače,Nazarje,124179,5739
Apače,Nova Gorica,267003,10162
Apače,Novo mesto,219865,8426
Apače,Odranci,39959,2543
Apače,Oplotnica,69085,3464
Apače,Ormož,45899,3139
Apače,Osilnica,242889,11267
Apače,Pesnica,33098,1895
Apače,Piran/Pirano,281684,10900
Apače,Pivka,220347,8496
Apače,Podlehnik,70375,3116
Apače,Podvelka,69977,4235
Apače,Podčetrtek,90069,4926
Apače,Poljčane,66422,3321
Apače,Polzela,103347,4320
Apače,Postojna,213106,8087
Apače,Prebold,103391,4358
Apače,Preddvor,192401,7667
Apače,Prevalje,109166,6561
Apače,Ptuj,40783,2828
Apače,Puconci,26904,1951
Apače,Radenci,13124,972
Apače,Radeče,117212,6011
Apače,Radlje ob Dravi,79904,4755
Apače,Radovljica,207931,7922
Apače,Ravne na Koroškem,106017,6268
Apače,Razkrižje,38947,2750
Apače,Rače - Fram,53000,2949
Apače,Renče - Vogrsko,262243,10060
Apače,Rečica ob Savinji,121630,5420
Apače,Ribnica,200305,8358
Apače,Ribnica na Pohorju,79834,4933
Apače,Rogatec,90684,4415
Apače,Rogaška Slatina,81964,4413
Apače,Rogašovci,24448,1825
Apače,Ruše,51658,3250
Apače,Selnica ob Dravi,53443,3822
Apače,Semič,245390,9974
Apače,Sevnica,119249,6085
Apače,Sežana,240378,8909
Apače,Slovenija,137169,6059
Apače,Slovenj Gradec,109914,5841
Apače,Slovenska Bistrica,57955,2760
Apače,Slovenske Konjice,70657,3436
Apače,Sodražica,196396,8268
Apače,Solčava,148326,7106
Apače,Središče ob Dravi,53335,3556
Apače,Starše,47645,2727
Apače,Straža,225820,8764
Apače,Sveta Ana,10223,764
Apače,Sveta Trojica v Slov. goricah,19027,1281
Apače,Sveti Andraž v Slov. goricah,28907,2054
Apače,Sveti Jurij ob Ščavnici,22145,1530
Apače,Sveti Jurij v Slov. goricah,19332,1428
Apače,Sveti Tomaž,35240,2535
Apače,Tabor,109763,4605
Apače,Tišina,17185,1253
Apače,Tolmin,263189,11953
Apače,Trbovlje,121685,5913
Apače,Trebnje,200373,7610
Apače,Trnovska vas,27258,1875
Apače,Trzin,149121,6114
Apače,Tržič,204601,7825
Apače,Turnišče,43476,2473
Apače,Velenje,108061,4872
Apače,Velika Polana,47194,2653
Apače,Velike Lašče,186252,7507
Apače,Veržej,26227,1836
Apače,Videm,67001,3047
Apače,Vipava,236750,9035
Apače,Vitanje,82876,4085
Apače,Vodice,158902,6726
Apače,Vojnik,88790,3989
Apače,Vransko,112087,4591
Apače,Vrhnika,181536,6969
Apače,Vuzenica,86317,5132
