id,ime,maticna_stevilka,obcina,zaposleni,dobicek
5816947000,"MF, GS - SAR",5816947000,Ljubljana,200 do 249 zaposlenih,
5491789000,"MIV SERVIS, d.o.o.",5491789000,Maribor,200 do 249 zaposlenih,
5049130000,MK Založba d.d.Oglas,5049130000,Ljubljana,200 do 249 zaposlenih,829276
3336905000,MKLOglas,3336905000,Ljubljana,200 do 249 zaposlenih,
5150957000,"MLEKARNA CELEIA, d.o.o.",5150957000,Žalec,200 do 249 zaposlenih,-832379
5066255000,MONTER DRAVOGRAD d.o.o.,5066255000,Dravograd,200 do 249 zaposlenih,1520192
2399270000,MZI,2399270000,Ljubljana,200 do 249 zaposlenih,
1582216000,Marche d.o.o.,1582216000,Logatec,200 do 249 zaposlenih,681133
5519225000,OC IMP Klima d.o.o.,5519225000,Idrija,200 do 249 zaposlenih,
5022614000,OKROŽNO SODIŠČE V KRANJU,5022614000,Kranj,200 do 249 zaposlenih,
5023149000,OKROŽNO SODIŠČE V MURSKI SOBOTI,5023149000,Murska Sobota,200 do 249 zaposlenih,
5425905000,"OPLAST, d.o.o.Oglas",5425905000,Slovenske Konjice,200 do 249 zaposlenih,1395241
8394474000,PAPIRNICA VEVČE PROIZVODNJA d.o.o.,8394474000,Ljubljana,200 do 249 zaposlenih,2698094
3313522000,"PIŠEK - VITLI KRPAN, d.o.o.",3313522000,Šmarje pri Jelšah,200 do 249 zaposlenih,2549725
5042348000,PLAMA-PUR d.o.o.,5042348000,Ilirska Bistrica,200 do 249 zaposlenih,6783803
2162431000,PLANIKA TURNIŠČE d.o.o.,2162431000,Turnišče,200 do 249 zaposlenih,789870
3722287000,PLASTOFORM ŠMARJETA d.o.o.,3722287000,Šmarješke Toplice,200 do 249 zaposlenih,2625469
5004365000,"POSTOJNSKA JAMA, d.d.",5004365000,Postojna,200 do 249 zaposlenih,9771158
5033217000,PREDILNICA LITIJA d.o.o.,5033217000,Litija,200 do 249 zaposlenih,729127
5053668000,PSIHIATRIČNA BOLNIŠNICA IDRIJA,5053668000,Idrija,200 do 249 zaposlenih,
1413694000,"RUDNIDIS, d.o.o.",1413694000,Ljubljana,200 do 249 zaposlenih,926664
5447640000,S&T Slovenija d.d.,5447640000,Ljubljana,200 do 249 zaposlenih,1731728
5043816000,"SALONIT ANHOVO, d.d.Oglas",5043816000,Kanal,200 do 249 zaposlenih,15130739
5000823000,"SANOLABOR, d.d.Oglas",5000823000,Ljubljana,200 do 249 zaposlenih,1782894
5432391000,SAUBERMACHER SLOVENIJA d.o.o.Oglas,5432391000,Murska Sobota,200 do 249 zaposlenih,2033411
5005574000,"SEMENARNA Ljubljana, d.o.o.",5005574000,Ljubljana,200 do 249 zaposlenih,-1458965
2113732000,SENSILAB d.o.o.,2113732000,Ljubljana,200 do 249 zaposlenih,-646936
5316804000,SIBO G. d.o.o.,5316804000,Škofja Loka,200 do 249 zaposlenih,1781679
5584060000,SILKEM d.o.o.,5584060000,Kidričevo,200 do 249 zaposlenih,3673865
5914523000,SIMBIO d.o.o.,5914523000,Celje,200 do 249 zaposlenih,526411
5034523000,"SIP, d.d. Šempeter v Savinjski dolini",5034523000,Žalec,200 do 249 zaposlenih,3472674
5067855000,SNAGA d.o.o.Oglas,5067855000,Maribor,200 do 249 zaposlenih,147164
7035845000,SiDG d. o. o.,7035845000,Kočevje,200 do 249 zaposlenih,11378438
5149398000,TAJFUN PLANINA d.o.o.,5149398000,Šentjur,200 do 249 zaposlenih,1437626
5043123000,TKK d.o.o.,5043123000,Bovec,200 do 249 zaposlenih,6599803
6957048000,TRANSPORT FINEC d.o.o.,6957048000,Grosuplje,200 do 249 zaposlenih,1447836
1626990000,UL FKKT,1626990000,Ljubljana,200 do 249 zaposlenih,
1627082000,UL PEFOglas,1627082000,Ljubljana,200 do 249 zaposlenih,
5001153000,UNION HOTELI d.d.,5001153000,Ljubljana,200 do 249 zaposlenih,4461115
5441528000,VALJI d.o.o.,5441528000,Štore,200 do 249 zaposlenih,-2068738
5050812000,VRTEC VELENJEOglas,5050812000,Velenje,200 do 249 zaposlenih,
5463254000,Varis Lendava d.o.o.,5463254000,Lendava,200 do 249 zaposlenih,2314013
3390209000,Wolford d.o.o.,3390209000,Murska Sobota,200 do 249 zaposlenih,381500
2351293000,XAL SVETILA d.o.o.,2351293000,Murska Sobota,200 do 249 zaposlenih,-78713
5699827000,ZAVOD SV. STANISLAVA,5699827000,Ljubljana,200 do 249 zaposlenih,
5866324000,ZAVOD ZA GRADBENIŠTVO SLOVENIJE firma v angleškem jeziku: SLOVENIAN NATIONAL BUILDING AND CIVIL ENGINEERING INSTITUTEOglas,5866324000,Ljubljana,200 do 249 zaposlenih,
5500931000,ZDRAVSTVENI DOM DOMŽALE,5500931000,Domžale,200 do 249 zaposlenih,
5728231000,ZDRAVSTVENI DOM KOPER CASA DELLA SANITA CAPODISTRIA,5728231000,Koper,200 do 249 zaposlenih,
5502420000,ZDRAVSTVENI DOM PTUJ,5502420000,Ptuj,200 do 249 zaposlenih,
5695252000,ZGN Ljubljana,5695252000,Ljubljana,200 do 249 zaposlenih,
5243050000,ŠC VelenjeOglas,5243050000,Velenje,200 do 249 zaposlenih,
5475236000,ŽELVA d.o.o.,5475236000,Ljubljana,200 do 249 zaposlenih,12151
5561868000,ACRON d.o.o.,5561868000,Slovenj Gradec,150 do 199 zaposlenih,472881
5929989000,"AFIT, d.o.o.",5929989000,Miren -Kos tanjevica,150 do 199 zaposlenih,81196
1824325000,AGM NEMEC d.o.o.,1824325000,Hrastnik,150 do 199 zaposlenih,701272
5391610000,AJM OKNA-VRATA-SENČILA d.o.o.Oglas,5391610000,Kungota,150 do 199 zaposlenih,234668
5443148000,AKTIVA INPOD d.o.o.,5443148000,Maribor,150 do 199 zaposlenih,111698
6013350000,AMO Mont d.o.o.,6013350000,Hoče -S livnica,150 do 199 zaposlenih,289214
5529859000,ARMATURE d.o.o.,5529859000,Muta,150 do 199 zaposlenih,-154973
1318527000,"ATAMA, d.o.o.",1318527000,Ljubljana,150 do 199 zaposlenih,45360
3329151000,ATHOS Elektrosistemi d.o.o.,3329151000,Kostan jevica na Krki,150 do 199 zaposlenih,1240299
1786164000,"ATLANTIC TRADE d.o.o., Ljubljana",1786164000,Ljubljana,150 do 199 zaposlenih,4407538
